time;SP;pSP;IPG1G2;IPG1;pG1P;IPG2;pG2P;SC;pSC;ICG1G2;ICG1;pG1C;ICG2;pG2C;N;...17;file;dSP;gammaPG1;dIPG1;gammaPG2;dIPG2;dSC;gammaCG1;dICG1;gammaCG2;dICG2;psiG1;FG1;psiG2;FG2;pi;FGB;c;kappa;sigma;eul;demog_feedback;vanish_threshold;pBc;pBp;pGc;pGp;fc
10;29.5404;0.955096;0;1.38884;0.0449039;0;0;29.9204;1;0;0;0;0;0;60.8496;NA;./competition_output_1000;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;10;10;10;1;20;0.02;0.001;0;1e-4;1;1e-7;0;0.04490378683730994;0;0;0.491710709684205
50;26.4038;0.8595;0;4.31615;0.1405;0;0;29.6319;1;0;0;0;0;0;60.3519;NA;./competition_output_1000;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;10;10;10;1;20;0.02;0.001;0;1e-4;1;1e-7;0;0.14049990315739447;0;0;0.4909853708002565
100;17.2818;0.562928;0;13.4181;0.437072;0;0;29.2754;1;0;0;0;0;0;59.9752;NA;./competition_output_1000;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;10;10;10;1;20;0.02;0.001;0;1e-4;1;1e-7;0;0.43707308492861546;0;0;0.48812509170457125
1000;0.0995258;0.00193581;0;51.3135;0.998064;0;0;23.5309;1;0;0;0;0;0;74.9439;NA;./competition_output_1000;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;10;10;10;1;20;0.02;0.001;0;1e-4;1;1e-7;0;0.9980641909622833;0;0;0.3139801905158392
40884;0.0999548;1.5014e-4;0;665.644;0.99985;0;0;1.81363e-4;1;0;0;0;0;0;665.744;NA;./competition_output_1000;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;10;10;10;1;20;0.02;0.001;0;1e-4;1;1e-7;0;0.9998498599960551;0;0;2.7242153139945687e-7
0;29.9331;0.965774;0;0;0;1.0608;0.0342261;29.933;0.965774;0;0;0;1.06078;0.0342256;61.9877;NA;./competition_output_1001;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;0.5;10;10;1;10.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0.034225576873811454;0.03422608964989885;0.4999988707437121
10;29.0371;0.938664;0;0;0;1.8974;0.0613359;29.0365;0.938672;0;0;0;1.89711;0.0613283;61.8682;NA;./competition_output_1001;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;0.5;10;10;1;10.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0.0613284385495259;0.06133604874816144;0.49999207993767397
50;17.4909;0.565971;0;0;0;13.4133;0.434029;17.4892;0.566051;0;0;0;13.4077;0.433949;61.8011;NA;./competition_output_1001;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;0.5;10;10;1;10.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0.43394968427253217;0.43402838449142833;0.49994093956256447
100;1.60963;0.0506314;0;0;0;30.1815;0.949369;1.60929;0.0506693;0;0;0;30.1513;0.949331;63.5517;NA;./competition_output_1001;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;0.5;10;10;1;10.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9493306012262366;0.9493685817396236;0.4997598805382075
1000;0.0503273;7.67557e-4;0;0;0;65.5179;0.999232;0.049481;7.67648e-4;0;0;0;64.4085;0.999232;130.026;NA;./competition_output_1001;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;0.5;10;10;1;10.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9992323526236417;0.9992324437906528;0.49573147678156676
